A,አንድ
Measles,ኩፍኛ
Measly,አነስተኛ
Measure,ለካ 
Measured,የተወሰነ
Meat,ሥጋ  
Meaty,ስጋ የበዛበት 
Mechanic,መካኒክ
Mechanical,አውቶማቲክ 
Mechanism,መሣርያ 
Medal,ሜዳይ ኒሻን
Meddle,ገባ 
Meddlesome,የእርጐ ዝንብ
Media,ዝዴዎች
Medial,መሀከለኛ
Median,አማካይ ቁጥር
Medical,የሕክምና  
Medicament,መድኅኒት
Medication,መድኅኒት
Medicinal,ፈዋሽነት
Medicine,መድኃኒት 
Medieval,የመካክለኛ ዘመን
Mediocre,ተራ 
Meditate,አወጣ አወረደ 
Medium,ዘዴ
Medley,ዉጥንቅጥ
Meek,የዋህ
Meet,አገኘ 
Meeting,ስብሰባ
Melancholy,ሓዘንና ትካዜ
Mellow,አለሰለሰ 
Melodious,ለዛ ያለ
Melody,ዘፈን 
Melon,ሓብሓብ
Melt,አነጠረ 
Member,አባል 
Membership,አባልነት 
Memento,መታሰቢያ 
Memorabilia,ትዝታ
Memorable,የማይረሳ
Memorandum,ማስታወሻ
Memorial,መታሰብያ ሓወልት
Memorize,በቃል አጠና 
Memory,ትዝታ 
Menace,ዛቻ 
Mend,ጠቀመ 
Mendacious,ዋሾ
Mendicant,ለማኝ
Menial,ዝቅተኛ
Menstruation,አደፈ
Mental,የአእምሮ 
Mentality,አስተሳሰብ 
Mention,ተናገረ 
Menu,የምግብ ዝርዝር
Mercantile,የንግድ
Mercenary,ቅጥር ወታደር
Merchandise,ነገደ
Merchant,ነጋዴ
Merciless,ጨካኝ
Mercury,ባዜቃ
Mercy,ምሕረት
Merge,አዋሃደ 
Merit,ተገባ 
Meritorious,አስመስጋኝ 
Merriment,ቡረቃ
Merry,ደስተኛ
Merrymaking,ፈንጠዝያ
Mesh,ተገጣጠመ 
Mess,ተንጐዳጐደ 
Message,መልእክት
Messenger,መልእክተኛ 
Messy,የተዝረከረከ 
Metal,ብረት 
Meteor,በራሪ ኮኮብ
Meteorology,ያየር ጠባይ ትምህርት
Meter,ሜትር 
Method,ዘዴ
Methodical,ሥርዓትየለው 
Meticulous,ጥንቁቅ
Metropolis,ትልቅ ከተማ
Mew,ጮሀ
Microbe,ረቂቅ ነፍሳት
Microphone,ድምጽ ማጉያ
Microscope,የማጉያ መነጸር
Mid,አጋማሸ
Midday,ቀትር ጊዜ
Middle,ወገብ 
Middleman,አትራፊ
Midget,ድንክ
Midnight,እኩለ ለሊት
Midst,መሃከል
Midway,አማካይ ስፍራ 
Midwife,አዋላጅ
Mighty,ታላቅ 
Migraine,ኅይለኛ 
Migrant,ተዘዋዋሪ
Migrate,ፈለሰ 
Mild,ቀላል 
Mildew,ሻጋታ 
Mile,ማይል
Milestone,ርቀት የሚያመለክት ድንገይ 
Militant,ለመዋጋት የቆረጠ 
Militarism,በጦር ኅይል መተማመን
Militarize,በጦር ኅይል አደረጀ
Military,ሰራዊት 
Militate,ጉዳት ላይ ጣለው
Militia,ብሔራዊ 
Milk,አለበ 
Milky,ወተት ያለበት
Mill,ፈጨ 
Millennium,አንድ ሺ አመተት
Millet,ማሽላ 
Million,ሚሊዮን
Millionaire,ሃብታም
Millstone,የድንጋይ ወፍጮ
Milt,ጣፍያ
Mimic,መስሎ ቀለደ 
Minaret,የጾለት መጥርያ ግምብ
Mince,ከተፍ
Mind,ጠበቀ 
Minded,ፈለገ
Mindful,በመስማት
Mindless,ግዴየለሽ
Mine,አወጣ 
Miner,ማዕድን ቆፋሪ
Mineral,ማዕድን
Mingle,አዳበለ 
Miniature,ሞዴል 
Minimize,ቀነሰ 
Minimum,እጅግ ቢያንስ
Minister,አለቃ 
Ministry,ሚኒስቴር 
Minor,ለአካለ መጠን ያልደረሰ ሰው 
Minority,በቁጥር አነስተኛ የሆነ ሕዝብ 
Minstrel,አዝማሪ
Mint,ገንዘብ መሥሪያ
Minus,የመቀነስ 
Minute,ደቂቃ 
Miracle,ተአምር
Miraculous,ተአምር 
			 ተአምራዊ,			 ተአምራዊ
Mire,ማጥ ውስጥ ገባ 
Mirror,ገለጸ  
Mirth,ሣቀ
Misadventure,መጥፎ ዕድል
Misalliance,ያለአቻ ጋብቻ
Misapprehend,በደንብ አልገባ(ወም)
Misbehave,ባለገ
Miscarriage,ማስወረድ
Miscarry,አስወረዳት 
Miscellaneous,በየዓይነት
Mischief,ተንኮል 
Mischievous,ተጫዋች 
Misconceive,በትክክል አለተረዳውም
Misconduct,መጥፎ አመል 
Misconstrue,በስሕተት ተረዳ 
Misdemeanour,አነስተኛ ወንጀል
Miser,ንፉግ
Miserable,አሰቃቂ 
Miserly,ጨቅ  
Misery,ችግር 
Misfire,ከሸፈ
Misfit,ከሰው ጋር የማይስማማ 
Misfortune,መከራ  
Misgiving,ጥርጣሬ
Misguide,አሳሳተ
Mishandle,አጉላላ 
Mishap,አደጋ 
Misinform,ዉሸት ነገረ 
Misinterpret,በስሕተት ተረጎመ 
Misjudge,በስሕተተ ገመተ 
Mislead,በስሕተት መራ 
Misleading,አሳሳች
Mismanage,በመጥፎ አመረር መራ 
Misplace,የለቦታው አኖረ
Misprint,የእትም ስህተት
Mispronounce,በተሳሳተ ሁኔታ አነበበ
Misquote,የላለውን አለ
Misread,ሲያነብ ተሳሳተ 
Misrepresent,በማይገባ ሁኔታ አቀረበ 
Miss,አመለጠው 
Misshapen,የተበላሸ
Mission,መልእክት 
Missionary,የወንጌል : ሰባኪ 
Mistranslate,አሳስቶ ተረጎመ :
Mistreat,በደለ 
Mistress,እመቤት 
Mistrust,ተጠራጠረ አላመነም
Misunderstand,በደንብ አለተረዳም 
Misunderstanding,አለመግባባት 
Mitigate,አሻሻለ
Mix,አቀላቀለ 
Mixed,የተደባለቀ 
Mixture,ቅልቅል 
Moan,አቃሰተ
Mob,ወረረ
Mobile,ተዘዋዋሪ
Mobilize,አስከተተ 
Mock,አላገጠ(በት) 
Mockery,የመቀለድ 
Mode,ሞድ 
Model,ምስል 
Moderate,በሊቀ መንበርነት መራ 
Moderation,መመጠን
Moderator,የውይይት መሪ
Modern,ዘመናዊ የዘመነ
Modernize,ዘመናዊ አደረገ 
Modest,ትሁት 
Modesty,ትህትና
Modify,ለወጠ 
Modulate,አስተካከለ 
Moist,እርጥበት
Moisten,አረጠበ
Moisture,ርጥበት 
Mold,ምስል ሰራ 
Molding,ከፈፍ
Mole,ፍልፍል
Molest,አበሳጨ 
Mollify,አባበለ 
Molten,ከቀለጠ ብረት የሚሰራ 
Moment,ግዜ 
Momentarily,ለጥቂት ደቂቃ ለጥቂት ግዜ
Momentary, ለጥቂት ጊዜ 
Momentous,ያለ
Momentum,እያየለ ሄደ 
Monarch,ንጉሰ ነገስት
Monarchy,ንጉሳዊ አገዛዝ
Monastery,ገዳም
Monastic,የገዳም የመነኮሳት
Money,ገንዘብ
Moneylender,ገንዘብ አበዳሪ
Monitor,አለቃ የክፍል አለቃ
Monk,መነኲሴ
Monkey,ዝንጀሮ
Monologue,ብቻውን ተናገረ
Monopolize,አጠቃሎ ለብቻው ያዘ 
Monopoly,ሞኖፖል
Monotheism,ባአንድ አምላከ ማመን
Monotonous,የምያሰላች 
Monster,ጉድ 
Monstrous,በጣም አሰካኢ 
Month,ወር
Monthly,በየወሩ የሚወጣ
Monument,ሐውልት 
Monumental,ታላቅ
Mood,ሁኔታ
Moon,በሐሳብ ዋለለ
Moonlight,የጨረቃ ብረሀን
Moor,አስሮ አቆመ
Moot,አከራካሪ መልስ የማይገኝለት
Mop,ወለወለ 
Mope,ቅር አለ（ው)
Moral,ፍሬ ነገር
Morality,ግብረ ገብነት ግብረ ገብ መሆን
Morass,አጨቀየ
Morbid,አስከፊ
More,ተጨማሪ
Morning,ጧት 
Morose,ከፋ(ው)
Morphology,እርባታ
Morrow,ነገ በበነጋው
Morsel,ቁራሽ
Mortal,ተራ ሰው
Mortality,ሟሽነት 
Mortar,ሙቀት 
Mortgage,አስያዘ
Mortify,አጎሳቆለ
Mosque,መስጊድ
Mosquito,የወባ ትንኝ
Moss,የድንጋይ ሽበት
Most,በታም
Mostly,ይበልጡ 
Moth,የእሳት እራት
Mother,እናት እንከባከብ
Motherland,የትውልድ አገር
Motherly,የእናት
Motif,ዓላማ
Motion,ምልክት ሰጠ 
Motivate,ገፋፋ
Motive,ምክንያት 
Motor,ሞተር
Motorize,በመኪና አጓጓሰ
Motto,መመርያ
Mound,ጉብታ 
Mount,ተቀመጠ 
Mountain,ተራራ
Mountainous,ተራራማ
Mountainside,የተራራ ጥጋት
Mourn,ሐዘን ላይ ነው 
Mourner,ለቀስተኛ ሐዘንተኛ
Mournful,የሐዘን 
Mourning,ልቅሶ ለቅሶ 
Mouse,አይጥ
Mousetrap,የአይጥ ወጥመድ
Mouth,አፍ 
Mouthful,ጉርሻ
Mouthpiece,አፍ 
Movable,ተንቀሳቃሽ
Move,ዞረ አደረገ 
Movement,እንቅስቃሴ 
Movie,ፊልም
Moving,የሚንቀሳቀስ 
Mow,ዐጨደ
Much,ብዙ 
Mucus,ንፍት
Mud,ጭቃ
Muddle,አማታ
Muddy,የጨቀየ 
Muffle,ሸፈነ 
Muffler,ጭስ ማውጫ
Muggy,ጭፍግግ ያለ
Mulch,ከቅጠሎችና ከለስላሳ አፈር የተደባለቀ ማዳበርያ 
Mule,በቅሎ
Muleteer,ለጓሚ
Mull,ሲያወጣ ሲወርድ ቆየ
Multifarious,የተለያየ አይነት
Multilateral,ብዙ ጎን ያለው 
Multiple,በርከት ያለ 
Multiply,አበዛ
Multitude,በጣም ብዙ
Multitudinous,በጣም ብዙ
Mumble,አጉመተመተ
Mumps,ጆሮ ደግፍ
Munch,አላመጠ 
Mundane,የዚህ ዓለም
Municipal,የማዘጋጃ በት
Municipality,ከተማ 
Munificent,ታላቅ
Munition,ትጥቅና ሥንቅ
Mural,ግድግዳላይ የተሣለ ሥእል 
Murder,ገደለ 
Murderous,ሊገድል የሚችል 
Murky,ጨለማ የሆነ
Murmur,አጉረመረመ 
Muscle,ጡንቻ
Muscular,የጡንቻ 
Muse,አሰላሰለ
Museum,ቤተ መዘከር
Mush,ንፍሮ 
Mushroom,ብቅ ብቅ አለ 
Music,ሙዚቃ
Musical,የሙዚቃ
Musician,ሙዚቀኛ
Musk,ዝባድ
Musket,ነፍጥ
Musketeer,ነፍጠኛ
Muslin,ሻሽ
Muss,በታተነ
Must,አለ(በት) 
Mustard,ስናፍጭ
Muster,ሰበሰበ
Musty,የሻገተ
Mutate,ተለወጠ
Mutation,መለወጥ
Mute,አለሰለሰ
Mutilate,ቁራረጠ
Mutinous,አድመኛ
Mutiny,ዐመፀ
Mutter,አጉረመረመ
Mutton,የበግ ስጋ
Mutual,የጋራ
Muzzle,አፉን አሰረ
Myrrh,ከርቤ
Myself,ራሴ
Mysterious,እንግዳ የሆነ 
Mystery,ምስጢር 
Mystic,ረቂቅ
Mystify,የሚለውን አሳጣወ
Myth,አፈታሪክ 
Mythology,አፈታሪክ
Nag,ጨቀጨቀ 
Nail,በምስማር መታ
Naked,ራቁት 
Name,ስም ጠራ ስምጠቀሰ
Narrow-minded,ሐሳበ ጠባብ
Nasal,የአፍንጫ
Nation,አገር 
National,ዜጋ
Nationalism,ብሔራዊ ስሜት
Nationality,ዜግነት 
Nationalize,በመንግስት ስር አደገ
Native,ተወላጅ 
Nativity,ልደት
Naturalize,የዜግነት መብት ሰጠ
Naturally,በተፈጥሮው 
Nature,ተፈጥሮ 
Naught,ዜሮ
Naughty,ተንኮለኛ ባለጌ 
Nausea,አቅለሸለሸ(ው)
Nauseate,አጥወለወለው 
Nautical,የመርከበኝነት
Naval,የባሕር 
Navel,እምብርት
Navigable,ለመርከብ ጉዞ የሚሆን
Navigate,መራ
Navigation,በጀልባ መሄድ 
Navy,የባሕር ኃይል
Near,ቅርብ
Nearly,ምንም አልቀረወ 
Neat,ንጹሕ 
Nebulous,ደመናማ 
Necessary,አስፈላጊ ተፈላጊ
Necessitate,አስፈለገ(ው)
Necessity,አስፈላጊነት 
Neck,አንገት
Necklace,ሐብል ያንገት ጌጥ ድሪ
Necktie,ክራቫት
Necrology,የሞት ዜና
Nectar,የአበባ ማር
Need,አስፈለገ(ው) 
Needle,መርፌ
Needless,ተገቢ ያልሆነ የማይገባ
Needlework,ጥልፍ
Needy,ችግረኛ የተቸገረ 
Nefarious,አሰቃቂ
Negate,ዋጋ ቢስ አደረገ 
Negation,አሉታ 
Negative,አሉታ 
Neglect,ችላ አለ 
Negligence,ቸልተኝነት
Negligible,እንብዛም
Negotiate,ተነጋገረ 
Neigh,አሽካካ
Neighbour,አዋሰነ
Neighbourhood,ጐረቤት 
Neighbourly,መልካም ጐረቤት
Neither,ከሁለቱ አንዱም
Nephew,የወንድም ልጅ የእኅት ልጅ
Nerve,የደም ስር 
Nervous,የተደናገጠ 
Nest,ጎጆ ሠራ
Nestle,ተመቻችቶ ተኛ
Net,አጠመደ 
Neuter,ግዑዝ ጾታ
Neutral,ገለልተኛ 
Neutralize,ፍሬቢስ አደረገ 
Never,ፈጽሞ 
Nevertheless,የሆነ ሆኖ
New,አዲስ 
Newborn,ዕራስ ልጅ
Newcomer,አዲስ መጪ 
Newfangled,ዘበናይ ዘመናዊ
Newly,አዲስ ገና አዲስ
Newscast,ወሬ
Newsman,ጋዜጠኛ
Newspaper,ጋዜጣ
Next,ተረኛ 
Nibble,ሸራረፈ
Nice,ጥሩ 
Nicety,ረቀቅ ያለው 
Niche,ለልዩ ልዩ እቃ መደርደሪያ እንድያገለግል በግድግዳ ውስጥ የሚገኝ ጎድጓዳ ሳፍራ
Nick,ሸረፈ
Niece,የእኅት ልጅ የወንድም ልጅ
Niggard,ቁንቋና
Niggardly,ቁንቋና 
Nigh,ተቃርቦ 
Night,ሌሊት
Nightfall,ሲመሽ
Nightgown,የሌሊት ልብስ
Nightly,ማታ ማታ
Nightmare,ቅዠት
Nimble,ቀልጣፋ 
Nine,ዘጠኝ
Nip,ፉት አለ(ለት)
Nipple,ጫፍ
No,የለም 
Nobility,መኳንንት 
Noble,መኳንንት
Nobleman,መኳንንት
Nobody,ማንም 
Nocturnal,የሌሊት 
Nod,አንጎላጀ 
Noise,ጫጫታ 
Noiseless,ድምጽ የሌለው
Noisy,ጫጫታ የሚበዛበት 
Nomad,ዘላን
Nomenclature,መሪሐ ቃላት
Nominal,በጣም ትንሽ 
Nominate,ሾመ 
Nomination,መታጨት
Nonchalant,ግድለሽ
None,ምንም 
Nonsense,የማይረባ ነገር 
Nook,በክፍል ውስጥ ተከልሎ የሚገኝ አነስተኛ ቦታ
Noon,እኩለ ቀን
Nor,-ም 
Norm,መጠነኛ ቁጥር 
Normal,መጠን
Normally,ብዙ ጊዜ 
North,ሰሜን
Northern,ሰሜናዊ
Nose,አነፈነፈ
Nosebleed,ነሰረ(ው)
Nostril,አፍንጫ
Nosy,ወሬ የሚወድ
Notable,ታላቅ ሰው
Notary,ውሎችንና ሰነዶችን የሚያጸድቅ መንግስት ያወቀው አዋዋይ
Notation,ማስታወሻ 
Note,ተገነዘበ 
Notebook,የማስታወሻ ደብተር
Noteworthy,የሚደነቅ
Nothing,ምንም 
Notice,አየ 
Noticeable,ልዩ አይነት 
Notify,አስታወቀ
Notion,ሐሳብ 
Notorious,የታወቀ 
Notwithstanding,ቢሆንም 
Noun,ስም
Nourish,መገበ 
Nourishment,ምግብ
Novel,ልብ ወለድ መጽሐፍ ልብወለድ ታሪክ
Novelist,የልብ ወለድ ደራሲ
Novelty,አዲስ ነገር 
Novice,ጀማሪ
Now,አሁን ባሁኑ ወቅት
Nowadays,በዛሬ ጊዜ ባሁን ጊዜ
Nowhere,የትም የትም ቦታ
Noxious,ጤና የሚጎዳ 
Nozzle,የትቦ ጫፍ
Nucleus,ቆርቋሪ 
Nude,ራቁት
Nudge,ጐነተለ
Nudity,ራቁት መሄድ
Nuisance,ጣጣ 
Nullify,ሻረ 
Numb,የደነዘዘ
Number,ቁጥር ሰጠ
Numberless,ቁጥር ስፍር የሌለው
Numeral,ቁጥር
Numerical,የቁጥር
Numerous,ብዙ
Nun,መነኲሲት
Nurse,አስታመመ 
Nursemaid,ነርስ አስታማሚ
Nursery,የሕፃናት ማሳደጊያ 
Nurture,አሳዳጊ
Nut,ለውዝ 
Nutrition,ያመጋገብ ዘዴ
Nutritious,መጋቢነት ያለው
Oar,መቅዘፍያ
Oasis,የበረሃ ገነት
Oat,አጃ
Oath,መሐላ
Obdurate,ጋግርታም
Obedience,ታዛዥነት 
Obedient,ታዛዥ
Obelisk,ሐውልት
Obese,ወፍራም
Obey,ታዘዘ 
Obituary,ዜና እረፍት
Object,ተቃወመ
Objection,ተቃውሞ
Objectionable,የማይገባ
Objective,ዓላማ
Oblation,ቁርባን
Obligate,አስገደደ
Obligation,ግዴታ
Obligatory,ግዴታ
Oblige,አስገደደ 
Oblique,ገዳዳ
Obliterate,አጠፋ 
Oblivion,ተረሳ
Oblivious,ረሳ 
Oblong,ሞላላ
Obnoxious,አስጠሊ
Obscene,ጸያፍ
Obscure,ጋረደ
Obscurity,ጨለማ 
Obsequious,አድር ባይ
Observance,የሚከበ በዓል
Observant,አስተዋይ
Observation,አስተያየት 
Observatory,አብዘርቫቶሪ
Observe,ተመለከተ 
Observer,ታዛቢ 
Obsess,አስጨነቀ
Obsidian,ባለጩት
Obsolescent,ጊዜ ያለፈ(በት)
Obstacle,እንቅፋት 
Obstinate,ችኮ 
Obstruct,ዘጋ 
Obstruction,የዘጋ ነገር 
Obtain,አገኘ 
Obtrude,ሰደደ
Obtuse,ጅል
Obverse,መልክ 
Obviate,ክ---አዳነ 
Obvious,ግልጽ
Occasion,አስነሳ 
Occasional,አልፎ አልፎ አንዳንዴ
Occidental,የምዕራባዊያን
Occult,ስውር
Occupant,የሚኖር ሰው 
Occupation,ሥራ 
Occupational,ከስራው ጋር የተያያዘ
Occupy,ያዘ 
Occur,ተገኘ 
Occurrence,የሚደርስ ነገር 
Ocean,ውቅያኖስ
Octagon,ስምንት ማእዝን ያለው ቅርጽ
Oculist,የአይን ሐኪም
Odd,እንግዳ ነገር 
Oddity,እንግዳ ነገር
Odds,ዕድል
Ode,ስለ አንድ ሰው ወይም ነገር በተለይ የሚጻፍ ጥልቅ ስሜት ያለው ግጥም
Odious,የሚያስጠላ
Odium,ውርደትና ንቀት
Odor,መዐዛ 
Of,ከ 
Offend,አስቀየመ 
Offense,ጥፋት 
Offensive,ማጥቃት
Offer,ሰጠ(ተሰጠ) 
Offering,የቤተ ክርስትያን ስለት
Offhand,እንድሚመስለው 
Office,መስርያ ቤት 
Officer,መኰንን 
Official,ባለስልጣን 
Officiate,ሠራ 
Offset,አብቃቃ 
Offshoot,ዝርያወች 
Offshore,ከጠረፍ ራቅ ብሎ
Offspring,ዘር
Often,ብዙ ጊዜ
Oil,ዘይት አደረገ(በት)
Oily,ዘይት የጠጣ 
Ointment,ቅባት
Old,አሮጌ 
Olden,የድሮ የዱሮ
Olive,የወይራ ዘይት
Omen,ገድ 
Ominous,መጥፎ ገድ
Omission,መገደፍ
Omit,ገደፈ 
Omnipotent,ኀያል
Omnipresent,የትም የሚገኝ
Omniscient,ሁሉን ዐዋቂ
On,በ 
Once,አንዴ 
One,አንድ 
Onerous,ከባድ
Oneself,ራሱ
Onion,ሽንኩርት
Onlooker,ተመልካች
Only,ብቻ
Onrush,ወራጅ
Onslaught,ኃይለኛ ማጥቃት
Onto,ላይ
Onward,ወደፍት
Ooze,ቀስ በቀስ አፈሰሰ
Opaque,ብረሃን የማያስተላልፍ
Open,ከፈተ 
Opening,መክፈቻ 
Openly,በግልጽ
Operate,አንቀሳቀሰ 
Operation,ማንቀሳቀስ 
Operator,ማዞሪያ 
Opinion,ሐሳብ 
Opinionated,ሐሳበ ግትር
Opium,አፒዩም
Opponent,ባለጋራ 
Opportune,ምቹ
Opportunity,እድል 
Oppose,ተቃወመ 
Opposite,ተቃራኒ
Opposition,ተቃውሞ 
Oppress,ጨቈነ 
Oppression,የጭቆና ቀንበር
Oppressive,የሚጨቁን 
Opprobrious,አስከፊ
Opt,መረጠ
Optician,ያይን መነጽር ሻጭ
Optimal,እጅግ ምቹ
Optimism,እጅግ ተስማሚ
Option,ምርጫ
Optional,በምርጫ የሚወሰን
Opulent,እጅግ ሀብታም 
Or,ወይም 
Oracle,በጥንት ጊዜ ቁሶች ካማልክት ጋር ይወያያሉ ተብሎ የሚታመንበት ስፍራ
Oral,የቃል 
Orange,ብርቱካን
Oration,ንግግር
Orator,ተናጋሪ
Oratory,ንግግር
Orbit,ምሕዋር
Orchard,ተክል
Orchestra,የሙዚቃ ጓድ
Ordain,ወሰነ 
Ordeal,የመከራ ጊዜ 
Order,አዘዘ 
Orderly,ረዳት 
Ordinal,መደበኛ
Ordinance,ድንጋጤ 
Ordinary,ተራ 
Ordination,የቅስና ማዕረግ
Ore,የብረት አፈር
Organ,አካል 
Organic,የውስጥ አካል 
Organism,ሕይወት ያለው ነገር
Organization,ማኅበር 
Organize,አዘጋጀ 
Orient,ምስራቅ
Oriental,የሩቅ ምሥራቅ ሰው
Orientate,መግለጫ ሰጠ
Orientation,አቅጣጫ 
Origin,መነሾ 
Original,ዋና 
Originate,ለመጀመርያ ጊዜ ፈጠረ
Ornament,አስጌጠ
Ornamental,የማጌጫ 
Ornate,እጅግ ያጌጠ 
Orphan,የሙት ልጅ
Orthodox,የኦርቶዶክስ 
Orthography,የቃላት አጻጻፍ
Oscillate,አወላወለ
Ossify,ጠነከረ
Ostensible,ግልጽ
Ostrich,ሰጐን
Other,ሌላ
Otherwise,ያለበለዚያ 
Ought,ይገባዋል 
Ounce,ወቄት
Our,የኛ 
Ours,የኛ
Ourselves,ራሳችን 
Oust,አስወጣ 
Ouster,ከሥልጣን ማውረድ
Out,ከ 
Outbid,አሸነፈ
Outbound,ወደ---የሚበር
Outbreak,መነሳት
Outcast,ከኅብረ ሰብእ ውጭ የሆነ ሰው
Outclass,አስናቀ
Outcome,ውጤት
Outcry,ጩኸት
Outdistance,ጥሎት በረረ
Outdo,በለጠ
Outdoor,የውጭ
Outdoors,ውጭ
Outer,የውጭ 
Outfit,አደራጅ
Outflow,የሚወጣ
Outgoing,የሥራ ጊዜውን የጨረሰ
Outgrow,በቁመት በለጠ 
Outgrowth,የሚበቅል
Outhouse,የውጭ ሽንት ቤት የሰገራ ቤት
Outing,ሽርሽር
Outlandish,ከሰው የተለየ
Outlast,ከ---የበለጠ ቆየ 
Outlaw,ከሕግ ውጭ አደረገ
Outline,ዘረዘረ 
Outlook,የወደ ፊት ሁኔታ 
Outlying,ራቅ ብሎ የሚገኝ ራቅ ያለ
Outmoded,ጊዜው ያለፈበት
Outplay,ከ--- የበለጠ ተጫወተ
Outpost,በገጠር የሚገኝ የጠላት ሰፈር
Output,የሥራ ምርት ውጤት 
Outrage,በጣም አናደደ 
Outrageous,አሰቃቂ
Outrank,በማዕረግ በለጠ
Outright,ፍጹም
Outrun,በሩጫ ቀደመ 
Outshine,አስናቀ
Outside,ውጭ 
Outsider,የውጭ ሰው
Outskirts,አካባቢ 
Outspread,ዘርግቶ
Outstanding,የታወቀ 
Outstrip,አስከነዳ
Outward,የውጭ
Outwear,ከ---ይልቅ በረከተ
Outwit,አሞኘ
Oval,ሞላላ
Ovation,ከፍ ያለ ጭብጨባ
Oven,ምድጃ 
Over,በ---ላይ
Overage,በእድሜ ገፋ ያለ
Overall,ጠቅላላ
Overboard,ከመርከቡ ላይ ወደ ባሕር ከመርከብ ላይ ወደ ባሕር
Overcast,ደመናማ
Overcharge,ከዋጋው በላይ አስከፈለ
Overcoat,ካፖርት
Overcome,አሸነፈ ተወጣ 
Overdo,ከመጠን አለፈ 
Overdraw,ከ---በላይ አወጣ
Overflow,ሞልቶ 
Overgrow,ሸፈነ
Overhang,ከ---አልፎ ወጣ 
Overhaul,መረመረ 
Overhear,ጆሮው ውስጥ ጥልቅ አለ 
Overlap,ተደራረበ
Overload,ከመጠን በላይ ሞላ
Overlook,አለፈ 
Overlord,ጌታ
Overly,ከልክ ያለፈ
Overnight,ያንድ ምሽት
Overpass,አለፈ
Overpay,ትርፍ ከፈለ
Overpower,አሸነፈ 
Overrate,ከመጠን በላይ አድርጐ ገመተ
Override,ሻረ 
Overrule,ገለበጠ
Overrun,ወረረ 
Overseas,ውጭ አገር ባሕር ማዶ
Oversee,ተቆጣጠረ 
Overseer,ተቈጣጠረ
Overshadow,አስናቀ 
Oversight,ቁጥጥር
Oversize,ትልቅ
Oversleep,በጣም አርፍዶ ነቃ ተኝቶ አረፈደ
Overstate,አጋነነ
Overt,ግልጽ
Overtake,ደረሰበ(ት) 
Overthrow,ገለበጠ
Overtime,ሰዓት እላፊ የትርፍ ጊዜ
Overturn,ገለበጠ ደፋ
Overwhelm,በዛ(በት) 
Overwork,ከሚገባው በላይ ክብደት አለው
Owing,በ---ምክንያት
Owl,ጉጉት
Own,አለ 
Owner,ባለቤት
Ox,በሬ
Pace,ወድያ ወዲህ አለ 
Pacific,ሰላምን የሚወድ 
Pacification,ማረጋጋት
Pacify,አባበለ 
Pack,እቃ ከተተ 
Package,ጥልቅ 
Packhorse,አጋሰስ
Pact,ውል
Pad,አስደረተ 
Paddle,ቀዘፈ
Pagan,አረማዊ
Page,አስጠራ
Pageant,ሥነ ሥርዓት
Pail,ባልዲ
Pain,አመመው 
Painless,ያለምንም ሥቃይ
Painstaking,ታላቅ
Paint,ቀባ 
Paintbrush,የቀለም ብሩሽ
Painter,ሠዓሊ 
Painting,ሥዕል
Pair,ሁለት ሁለት 
Pajamas,ፒጃማ
Palace,ቤተ መንግስት
Palate,ላንቃ
Palatial,ቤተ መንግስት የመሰለ
Pale,አመድ መሰለ
Palisade,አጥር
Palliate,አስታገሰ 
Pallid,የገረጣ
Pallor,መገርጣት
Palm,ዘምባባ 
Palpable,ሊዳስስ የሚችል 
Palpate,ደባበሰ
Pamper,አሞላቀቀ
Pamphlet,አነስተኛ መጻፍ
Pan,መጥበሻ 
Panel,ክፍል 
Panic,አስፈራራ አስደነገጠ 
Pant,ቁና ቁና ተነፈሰ 
Panther,አነር
Pantomime,እንቅስቃሴ ብቻ
Pantry,ጓዳ
Pants,ሱሪ
Papa,አበባ
Papaya,ፓፓያ
Paper,ወረቀት 
Paperback,የወረቀት ጥራዝ
Paperwork,የጽሑፍ ሥራ
Par,እኩል ነው
Parable,ምሳሌ
Parachute,ጃንጥላ
Parade,በሰልፍ ተዘዋወረ 
Paradigm,እርባታ
Paradise,ገነት
Paradox,ተጻራሪ አባባል
Paragraph,አንቀጽ
Parakeet,በቅበቃ
Parallel,ተከትሎ ሄደ 
Paralysis,መስለል የሰውነት መስለል
Paramount,ዋና
Parasite,ጥገኛ ነፍሳት 
Parasol,ጃንጥላ
Paratrooper,ያየር ወለድ ወታደር
Parcel,ሸንሽኖ አከፋፈለ 
Parch,ቆላ 
Parched,ደርቆ የተሰነጣጠቀ
Parchment,ብራና
Pardon,ምሕረት አደረገለት ማረ 
Pare,ላጠ 
Parent,ወላጅ 
Parentage,ቤተሰብ
Parenthesis,ቅንፍ
Parish,ደብር 
Parishioner,የደብር ሕዝብ
Parity,በሰው ልጅ መካከል እኩልነት
Park,አቆመ 
Parkway,አውራ ጎዳና
Parley,ስብሰባ
Parliament,ምክር ቤት ፓርላማ
Parliamentarian,የሕጉን ስርዓት ዐዋቂ
Parliamentary,የፓርላሜንት
Parlour,ማረፊያ ክፍል
Parochial,የቤተ ክህነት 
Parody,ቁም ነገር ጽሑፍ አስቂኝ በሆነ በሆነ መንገድ ጽፎ አቀረበ
Parrot,በቀቀን 
Parry,መከተ 
Parse,ተነተነ
Parsimony,ሥሥታምነት
Parson,የደብር ዕቃ
Part,መንገድ አስለቀቀ 
